Potential applied (V)	WE(1).Current (A)
0.01007080078125	6.7840576171875E-07
0.0201416015625	4.6600341796875E-07
0.03021240234375	3.5400390625E-07
0.040283203125	2.8472900390625E-07
0.05035400390625	2.3980712890625E-07
0.0604248046875	2.07061767578125E-07
0.07049560546875	1.8426513671875E-07
0.08056640625	1.6693115234375E-07
0.09063720703125	1.52984619140625E-07
0.1007080078125	1.4373779296875E-07
0.11077880859375	1.35650634765625E-07
0.120849609375	1.29058837890625E-07
0.13092041015625	1.23077392578125E-07
0.1409912109375	1.18896484375E-07
0.15106201171875	1.1566162109375E-07
0.1611328125	1.121826171875E-07
0.17120361328125	1.10992431640625E-07
0.1812744140625	1.07818603515625E-07
0.19134521484375	1.085205078125E-07
0.201416015625	1.0833740234375E-07
0.21148681640625	1.09771728515625E-07
0.2215576171875	1.09466552734375E-07
0.23162841796875	1.11419677734375E-07
0.24169921875	1.1248779296875E-07
0.25177001953125	1.1553955078125E-07
0.2618408203125	1.1981201171875E-07
0.27191162109375	1.2347412109375E-07
0.281982421875	1.2689208984375E-07
0.29205322265625	1.33270263671875E-07
0.3021240234375	1.4056396484375E-07
0.31219482421875	1.4752197265625E-07
0.322265625	1.5570068359375E-07
0.33233642578125	1.658935546875E-07
0.3424072265625	1.78619384765625E-07
0.35247802734375	1.89056396484375E-07
0.362548828125	2.05963134765625E-07
0.37261962890625	2.25616455078125E-07
0.3826904296875	2.5048828125E-07
0.39276123046875	2.81097412109375E-07
0.40283203125	3.153076171875E-07
0.41290283203125	3.62579345703125E-07
0.4229736328125	4.2254638671875E-07
0.43304443359375	4.9951171875E-07
0.443115234375	5.9307861328125E-07
0.45318603515625	6.88690185546875E-07
0.4632568359375	7.6080322265625E-07
0.47332763671875	8.0841064453125E-07
0.4833984375	8.72802734375E-07
0.49346923828125	9.86328125E-07
0.5035400390625	1.131591796875E-06
0.51361083984375	1.28173828125E-06
0.523681640625	1.41143798828125E-06
0.53375244140625	1.51763916015625E-06
0.5438232421875	1.61346435546875E-06
0.55389404296875	1.712646484375E-06
0.56396484375	1.8798828125E-06
0.57403564453125	2.07244873046875E-06
0.5841064453125	2.27081298828125E-06
0.59417724609375	2.49237060546875E-06
0.604248046875	2.7288818359375E-06
0.61431884765625	2.90863037109375E-06
0.6243896484375	3.07525634765625E-06
0.63446044921875	3.2208251953125E-06
0.64453125	3.36456298828125E-06
0.65460205078125	3.4686279296875E-06
0.6646728515625	3.54705810546875E-06
0.67474365234375	3.62823486328125E-06
0.684814453125	3.719482421875E-06
0.69488525390625	3.82843017578125E-06
0.7049560546875	3.9678955078125E-06
0.71502685546875	4.1400146484375E-06
0.72509765625	4.3133544921875E-06
0.73516845703125	4.60357666015625E-06
0.7452392578125	4.87396240234375E-06
0.75531005859375	5.13031005859375E-06
0.765380859375	5.41748046875E-06
0.77545166015625	5.7318115234375E-06
0.7855224609375	6.04278564453125E-06
0.79559326171875	6.402587890625E-06
0.8056640625	6.7657470703125E-06
0.81573486328125	7.086181640625E-06
0.8258056640625	7.45849609375E-06
0.83587646484375	7.9345703125E-06
0.845947265625	8.251953125E-06
0.85601806640625	8.4381103515625E-06
0.8660888671875	8.624267578125E-06
0.87615966796875	8.7799072265625E-06
0.88623046875	9.0240478515625E-06
0.89630126953125	9.1796875E-06
0.9063720703125	9.3353271484375E-06
0.91644287109375	9.4482421875E-06
0.926513671875	9.5855712890625E-06
0.93658447265625	9.844970703125E-06
0.9466552734375	1.00860595703125E-05
0.95672607421875	1.02935791015625E-05
0.966796875	1.05194091796875E-05
0.97686767578125	1.06658935546875E-05
0.9869384765625	1.085205078125E-05
0.99700927734375	1.10076904296875E-05
1.007080078125	1.11419677734375E-05
1.01715087890625	1.13037109375E-05
1.0272216796875	1.15478515625E-05
1.03729248046875	1.17828369140625E-05
1.04736328125	1.2152099609375E-05
1.05743408203125	1.24298095703125E-05
1.0675048828125	1.27685546875E-05
1.07757568359375	1.30096435546875E-05
1.087646484375	1.31988525390625E-05
1.09771728515625	1.3421630859375E-05
1.1077880859375	1.34796142578125E-05
1.11785888671875	1.35955810546875E-05
1.1279296875	1.3519287109375E-05
1.13800048828125	1.346435546875E-05
1.1480712890625	1.3433837890625E-05
1.15814208984375	1.33880615234375E-05
1.168212890625	1.34063720703125E-05
1.17828369140625	1.35772705078125E-05
1.1883544921875	1.39312744140625E-05
1.19842529296875	1.42852783203125E-05
1.20849609375	1.48345947265625E-05
1.19842529296875	1.09588623046875E-05
1.1883544921875	8.721923828125E-06
1.17828369140625	7.12890625E-06
1.168212890625	5.92041015625E-06
1.15814208984375	5.0933837890625E-06
1.1480712890625	4.3365478515625E-06
1.13800048828125	3.64227294921875E-06
1.1279296875	3.13385009765625E-06
1.11785888671875	2.652587890625E-06
1.1077880859375	2.2198486328125E-06
1.09771728515625	1.82220458984375E-06
1.087646484375	1.44012451171875E-06
1.07757568359375	1.09893798828125E-06
1.0675048828125	7.9742431640625E-07
1.05743408203125	4.2510986328125E-07
1.04736328125	1.01318359375E-07
