Messpkt.;Zeit [s];Schubspannung [Pa];Viskosität [Pa·s];Drehzahl [1/min];Moment [µNm];Status
103;143;9,69;96,8;0,0168;317;Dy_auto
104;144;9,73;97,3;0,0168;318;Dy_auto
105;145;9,76;97,6;0,0169;320;Dy_auto
106;146;9,75;97,6;0,0168;319;Dy_auto
107;147;9,76;97,7;0,0168;319;Dy_auto
108;148;9,8;98,2;0,0168;321;Dy_auto
109;149;9,81;98,2;0,0168;321;Dy_auto
110;150;9,75;97,5;0,0168;319;Dy_auto
111;151;9,78;97,8;0,0168;320;Dy_auto
112;152;9,79;97,8;0,0169;320;Dy_auto
113;153;9,79;97,9;0,0169;321;Dy_auto
114;154;9,79;98;0,0168;321;Dy_auto
115;155;9,77;97,7;0,0168;320;Dy_auto
116;156;9,76;97,6;0,0168;320;Dy_auto
117;157;9,75;97,4;0,0169;319;Dy_auto
118;158;9,71;97;0,0168;318;Dy_auto
119;159;9,73;97,3;0,0168;319;Dy_auto
120;160;9,72;97,4;0,0168;318;Dy_auto
121;161;9,66;96,6;0,0168;316;Dy_auto
122;162;9,68;96,8;0,0168;317;Dy_auto
123;163;9,69;97;0,0168;317;Dy_auto
124;164;9,66;96,7;0,0168;316;Dy_auto
125;165;9,64;96,5;0,0168;315;Dy_auto
