Filename:	C:\Users\DSC\Desktop\MD\G7\G7-pet-tga.t6d 
Operator ID:	MD 
Sample ID:	G7-PET 
Comment: 	 
Serial Number:	016120108 
Data Collected:	09.03.2026 10:32:07 
Sample Weight:	2.644 mg 
Display Weight:	2.644 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\05_Okt_2017.t6c 
Date/Time:	 
Initial Conditions 
Temperature:	 30.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	1710 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 30.00°C to 600.00°C at 20.00°C/min 
 
1) TGA Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	1.033333	3.733526	0.000000	50.666667	36.580000	19.800000	0.000000 
	1.050000	3.733736	0.000000	51.000000	36.770000	19.800000	0.000000 
	1.066667	3.733947	0.000000	51.333333	36.960000	19.800000	0.000000 
	1.083333	3.734157	0.000000	51.666667	37.150000	19.800000	0.000000 
	1.100000	3.734579	0.000000	52.000000	37.350000	19.800000	0.000000 
	1.116667	3.734789	0.000000	52.333333	37.540000	19.800000	0.000000 
	1.133333	3.734789	0.000000	52.666667	37.740000	19.800000	0.000000 
	1.150000	3.735000	0.000000	53.000000	37.940000	19.800000	0.000000 
	1.166667	3.735000	0.000000	53.333333	38.150000	19.800000	0.000000 
	1.183333	3.735210	0.000000	53.666667	38.360000	19.800000	0.000000 
	1.200000	3.735421	0.000000	54.000000	38.560000	19.800000	0.000000 
	1.216667	3.735631	0.000000	54.333333	38.780000	19.800000	0.000000 
	1.233333	3.735631	0.000000	54.666667	38.990000	19.800000	0.000000 
	1.250000	3.735631	0.000000	55.000000	39.200000	19.800000	0.000000 
	1.266667	3.735631	0.000000	55.333333	39.420000	19.800000	0.000000 
	1.283333	3.735631	0.000000	55.666667	39.640000	19.800000	0.000000 
	1.300000	3.735842	0.000000	56.000000	39.860000	19.800000	0.000000 
	1.316667	3.736053	0.000000	56.333333	40.090000	19.800000	0.000000 
	1.333333	3.736053	0.000000	56.666667	40.310000	19.800000	0.000000 
	1.350000	3.736053	0.000000	57.000000	40.540000	19.800000	0.000000 
	1.366667	3.736263	0.000000	57.333333	40.770000	19.800000	0.000000 
	1.383333	3.736263	0.000000	57.666667	41.000000	19.800000	0.000000 
	1.400000	3.736474	0.000000	58.000000	41.240000	19.800000	0.000000 
	1.416667	3.736263	0.000000	58.333333	41.470000	19.800000	0.000000 
	1.433333	3.736684	0.000000	58.666667	41.710000	19.800000	0.000000 
	1.450000	3.736895	0.000000	59.000000	41.950000	19.800000	0.000000 
	1.466667	3.737316	0.000000	59.333333	42.190000	19.800000	0.000000 
	1.483333	3.737526	0.000000	59.666667	42.430000	19.800000	0.000000 
	1.500000	3.737105	0.000000	60.000000	42.670000	19.800000	0.000000 
	1.516667	3.737105	0.000000	60.333333	42.920000	19.800000	0.000000 
	1.533333	3.737316	0.000000	60.666667	43.160000	19.800000	0.000000 
