Time (s)	WE(1).Current (A)	Time (s)	WE(1).Current (A)
0.995600997486349	0.000417022705078125	1.29735599672449	-0.000999969482421875
1.0056009974611	0.000406341552734375	1.30735599669924	-0.00999969482421875
1.01560099743585	0.00039569091796875	1.317355996674	-0.03802490234375
1.02560099741061	0.000386474609375	1.32735599664875	-0.034954833984375
1.03560099738536	0.000376983642578125	1.3373559966235	-0.0323486328125
1.04560099736011	0.000367919921875	1.34735599659825	-0.0299560546875
1.05560099733486	0.000358489990234375	1.35735599657301	-0.0277099609375
1.06560099730962	0.00035015869140625	1.36735599654776	-0.0255218505859375
1.07560099728437	0.000341278076171875	1.37735599652251	-0.0233551025390625
1.08560099725912	0.00033343505859375	1.38735599649726	-0.02119140625
1.09560099723387	0.00032513427734375	1.39735599647202	-0.018994140625
1.10560099720863	0.000318206787109375	1.40735599644677	-0.016754150390625
1.11560099718338	0.00031103515625	1.41735599642152	-0.014495849609375
1.12560099715813	0.000304718017578125	1.42735599639627	-0.01229248046875
1.13560099713288	0.0002978515625	1.43735599637103	-0.0102294921875
1.14560099710764	0.0002921142578125	1.44735599634578	-0.0084747314453125
1.15560099708239	0.00028582763671875	1.45735599632053	-0.00711669921875
1.16560099705714	0.0002802734375	1.46735599629528	-0.0060821533203125
1.17560099703189	0.00027392578125	1.47735599627003	-0.0052734375
1.18560099700665	0.00026849365234375	1.48735599624479	-0.00462921142578125
1.1956009969814	0.00026300048828125	1.49735599621954	-0.00409637451171875
1.20560099695615	0.00025823974609375	1.50735599619429	-0.00365814208984375
1.2156009969309	0.000252777099609375	1.51735599616904	-0.003287353515625
1.22560099690565	0.000248291015625	1.5273559961438	-0.00297088623046875
1.23560099688041	0.000243255615234375	1.53735599611855	-0.00243255615234375
1.24560099685516	0.000239044189453125	1.5473559960933	-0.00247528076171875
1.25560099682991	0.0002340087890625	1.55735599606805	-0.0022698974609375
1.26560099680466	0.000229827880859375	1.56735599604281	-0.0020867919921875
1.27560099677942	0.00022540283203125	1.57735599601756	-0.00192352294921875
1.28560099675417	0.0002218017578125	1.58735599599231	-0.00178192138671875
Time (s)	WE(1).Current (A)	Time (s)	WE(1).Current (A)
1.82794299538489	0.01	2.12964999462315	-0.039068603515625
1.83794299535964	0.022332763671875	2.1396499945979	-0.035736083984375
1.84794299533439	0.0217803955078125	2.14964999457266	-0.032879638671875
1.85794299530914	0.0212890625	2.15964999454741	-0.030389404296875
1.8679429952839	0.020684814453125	2.16964999452216	-0.0280517578125
1.87794299525865	0.019964599609375	2.17964999449691	-0.0258056640625
1.8879429952334	0.019158935546875	2.18964999447167	-0.0235565185546875
1.89794299520815	0.0183929443359375	2.19964999444642	-0.021319580078125
1.90794299518291	0.0176544189453125	2.20964999442117	-0.0190216064453125
1.91794299515766	0.01685791015625	2.21964999439592	-0.0166656494140625
1.92794299513241	0.01605224609375	2.22964999437067	-0.0142425537109375
1.93794299510716	0.015234375	2.23964999434543	-0.01181640625
1.94794299508192	0.014434814453125	2.24964999432018	-0.009503173828125
1.95794299505667	0.0136444091796875	2.25964999429493	-0.00755615234375
1.96794299503142	0.012890625	2.26964999426968	-0.0061065673828125
1.97794299500617	0.0121490478515625	2.27964999424444	-0.0050537109375
1.98794299498093	0.0114471435546875	2.28964999421919	-0.00426971435546875
1.99794299495568	0.010760498046875	2.29964999419394	-0.0036566162109375
2.00794299493043	0.01011962890625	2.30964999416869	-0.00316802978515625
2.01794299490518	0.0094970703125	2.31964999414345	-0.00276824951171875
2.02794299487994	0.0089141845703125	2.3296499941182	-0.002437744140625
2.03794299485469	0.008355712890625	2.33964999409295	-0.00193267822265625
2.04794299482944	0.0078369140625	2.3496499940677	-0.001939697265625
2.05794299480419	0.007342529296875	2.35964999404246	-0.001748046875
2.06794299477895	0.006884765625	2.36964999401721	-0.001588134765625
2.0779429947537	0.0064453125	2.37964999399196	-0.0014483642578125
2.08794299472845	0.00604248046875	2.38964999396671	-0.0013323974609375
2.0979429947032	0.0056610107421875	2.39964999394147	-0.00123199462890625
2.10794299467796	0.00531005859375	2.40964999391622	-0.0011474609375
2.11794299465271	0.0049774169921875	2.41964999389097	-0.0010699462890625
Time (s)	WE(1).Current (A)	Time (s)	WE(1).Current (A)
2.66629999326824	0.01	2.96794399250666	-0.0391082763671875
2.67629999324299	0.0223052978515625	2.97794399248141	-0.0357635498046875
2.68629999321774	0.0217681884765625	2.98794399245617	-0.032904052734375
2.6962999931925	0.0212982177734375	2.99794399243092	-0.030389404296875
2.70629999316725	0.020684814453125	3.00794399240567	-0.0280670166015625
2.716299993142	0.019940185546875	3.01794399238042	-0.0258148193359375
2.72629999311675	0.019171142578125	3.02794399235518	-0.0235687255859375
2.73629999309151	0.018463134765625	3.03794399232993	-0.02130126953125
2.74629999306626	0.017694091796875	3.04794399230468	-0.0189971923828125
2.75629999304101	0.0168792724609375	3.05794399227943	-0.0166290283203125
2.76629999301576	0.0160552978515625	3.06794399225419	-0.01419677734375
2.77629999299052	0.015240478515625	3.07794399222894	-0.0117523193359375
2.78629999296527	0.014434814453125	3.08794399220369	-0.009429931640625
2.79629999294002	0.0136474609375	3.09794399217844	-0.0074798583984375
2.80629999291477	0.012884521484375	3.1079439921532	-0.0060333251953125
2.81629999288953	0.01214599609375	3.11794399212795	-0.004974365234375
2.82629999286428	0.0114410400390625	3.1279439921027	-0.004189453125
2.83629999283903	0.0107574462890625	3.13794399207745	-0.00356842041015625
2.84629999281378	0.010107421875	3.14794399205221	-0.00307464599609375
2.85629999278854	0.0094879150390625	3.15794399202696	-0.00266845703125
2.86629999276329	0.008905029296875	3.16794399200171	-0.002086181640625
2.87629999273804	0.008349609375	3.17794399197646	-0.00207763671875
2.88629999271279	0.0078277587890625	3.18794399195122	-0.00185546875
2.89629999268755	0.0073394775390625	3.19794399192597	-0.00166656494140625
2.9062999926623	0.0068817138671875	3.20794399190072	-0.0015130615234375
2.91629999263705	0.0064483642578125	3.21794399187547	-0.00137939453125
2.9262999926118	0.006048583984375	3.22794399185022	-0.00126678466796875
2.93629999258656	0.005670166015625	3.23794399182498	-0.0011676025390625
2.94629999256131	0.0053192138671875	3.24794399179973	-0.001085205078125
2.95629999253606	0.004986572265625	3.25794399177448	-0.00101043701171875
Time (s)	WE(1).Current (A)	Time (s)	WE(1).Current (A)
3.48185499120916	0.01	3.78343199044775	-0.03907470703125
3.49185499118391	0.02232666015625	3.7934319904225	-0.03572998046875
3.50185499115867	0.0218048095703125	3.80343199039726	-0.032879638671875
3.51185499113342	0.021319580078125	3.81343199037201	-0.03035888671875
3.52185499110817	0.020703125	3.82343199034676	-0.0280426025390625
3.53185499108292	0.0199310302734375	3.83343199032151	-0.025775146484375
3.54185499105768	0.0191864013671875	3.84343199029627	-0.0235321044921875
3.55185499103243	0.01845703125	3.85343199027102	-0.0212554931640625
3.56185499100718	0.017681884765625	3.86343199024577	-0.0189605712890625
3.57185499098193	0.016845703125	3.87343199022052	-0.0165771484375
3.58185499095669	0.0160247802734375	3.88343199019528	-0.0141510009765625
3.59185499093144	0.01519775390625	3.89343199017003	-0.0116943359375
3.60185499090619	0.0143951416015625	3.90343199014478	-0.009381103515625
3.61185499088094	0.0136016845703125	3.91343199011953	-0.00743408203125
3.6218549908557	0.012841796875	3.92343199009429	-0.00599365234375
3.63185499083045	0.012103271484375	3.93343199006904	-0.00494384765625
3.6418549908052	0.011395263671875	3.94343199004379	-0.0041644287109375
3.65185499077995	0.010711669921875	3.95343199001854	-0.00354736328125
3.6618549907547	0.010064697265625	3.9634319899933	-0.00305572509765625
3.67185499072946	0.0094482421875	3.97343198996805	-0.00265228271484375
3.68185499070421	0.0088623046875	3.9834319899428	-0.002086181640625
3.69185499067896	0.0083099365234375	3.99343198991755	-0.00206329345703125
3.70185499065371	0.0077911376953125	4.00343198989231	-0.0018402099609375
