Potential applied (V)	WE(1).Current (A)
-0.389862060546875	-7.4371337890625E-06
-0.379791259765625	-5.108642578125E-06
-0.369720458984375	-3.878173828125E-06
-0.359649658203125	-3.11187744140625E-06
-0.349578857421875	-2.5848388671875E-06
-0.339508056640625	-2.1881103515625E-06
-0.329437255859375	-1.89239501953125E-06
-0.319366455078125	-1.66107177734375E-06
-0.309295654296875	-1.466064453125E-06
-0.299224853515625	-1.309814453125E-06
-0.289154052734375	-1.1846923828125E-06
-0.279083251953125	-1.05682373046875E-06
-0.269012451171875	-9.5855712890625E-07
-0.258941650390625	-8.697509765625E-07
-0.248870849609375	-7.855224609375E-07
-0.238800048828125	-7.1807861328125E-07
-0.228729248046875	-6.4697265625E-07
-0.218658447265625	-5.8563232421875E-07
-0.208587646484375	-5.328369140625E-07
-0.198516845703125	-4.8126220703125E-07
-0.188446044921875	-4.296875E-07
-0.178375244140625	-3.8421630859375E-07
-0.168304443359375	-3.4454345703125E-07
-0.158233642578125	-3.009033203125E-07
-0.148162841796875	-2.7587890625E-07
-0.138092041015625	-2.423095703125E-07
-0.128021240234375	-2.1417236328125E-07
-0.117950439453125	-1.89697265625E-07
-0.107879638671875	-1.67022705078125E-07
-0.097808837890625	-1.4605712890625E-07
-0.087738037109375	-1.24176025390625E-07
-0.077667236328125	-1.0791015625E-07
-0.067596435546875	-9.6343994140625E-08
-0.057525634765625	-8.14208984375E-08
-0.047454833984375	-6.4605712890625E-08
-0.037384033203125	-5.4107666015625E-08
-0.027313232421875	-3.8238525390625E-08
-0.017242431640625	-2.8839111328125E-08
-0.007171630859375	-2.386474609375E-08
0.002899169921875	-8.7890625E-09
0.012969970703125	-3.84521484375E-09
0.023040771484375	-6.7138671875E-10
0.033111572265625	9.09423828125E-09
0.043182373046875	1.1871337890625E-08
0.053253173828125	2.325439453125E-08
0.063323974609375	2.72216796875E-08
0.073394775390625	2.9571533203125E-08
0.083465576171875	3.2958984375E-08
0.093536376953125	4.1259765625E-08
0.103607177734375	4.1778564453125E-08
0.113677978515625	4.8492431640625E-08
0.123748779296875	5.45654296875E-08
0.133819580078125	5.8929443359375E-08
0.143890380859375	6.195068359375E-08
0.153961181640625	6.689453125E-08
0.164031982421875	7.6263427734375E-08
0.174102783203125	7.586669921875E-08
0.184173583984375	8.0718994140625E-08
0.194244384765625	8.477783203125E-08
0.204315185546875	9.1094970703125E-08
0.214385986328125	9.6038818359375E-08
0.224456787109375	9.82666015625E-08
0.234527587890625	1.0357666015625E-07
0.244598388671875	1.048583984375E-07
0.254669189453125	1.126708984375E-07
0.264739990234375	1.136474609375E-07
0.274810791015625	1.1798095703125E-07
0.284881591796875	1.19293212890625E-07
0.294952392578125	1.23931884765625E-07
0.305023193359375	1.26068115234375E-07
0.315093994140625	1.28021240234375E-07
0.325164794921875	1.334228515625E-07
0.335235595703125	1.34735107421875E-07
0.345306396484375	1.41326904296875E-07
0.355377197265625	1.40167236328125E-07
0.365447998046875	1.40350341796875E-07
0.375518798828125	1.4447021484375E-07
0.385589599609375	1.51153564453125E-07
0.395660400390625	1.4776611328125E-07
0.405731201171875	1.50421142578125E-07
0.415802001953125	1.5057373046875E-07
0.425872802734375	1.5179443359375E-07
0.435943603515625	1.5325927734375E-07
0.446014404296875	1.53961181640625E-07
0.456085205078125	1.56524658203125E-07
0.466156005859375	1.54022216796875E-07
0.476226806640625	1.51519775390625E-07
0.486297607421875	1.5240478515625E-07
0.496368408203125	1.512451171875E-07
0.506439208984375	1.50146484375E-07
0.516510009765625	1.494140625E-07
0.526580810546875	1.50299072265625E-07
0.536651611328125	1.48162841796875E-07
0.546722412109375	1.46392822265625E-07
0.556793212890625	1.4703369140625E-07
0.566864013671875	1.45355224609375E-07
0.576934814453125	1.44622802734375E-07
0.587005615234375	1.41143798828125E-07
0.597076416015625	1.4154052734375E-07
0.607147216796875	1.41754150390625E-07
0.617218017578125	1.42333984375E-07
0.627288818359375	1.40655517578125E-07
0.637359619140625	1.37481689453125E-07
0.647430419921875	1.38519287109375E-07
0.657501220703125	1.3739013671875E-07
0.667572021484375	1.3330078125E-07
0.677642822265625	1.370849609375E-07
0.687713623046875	1.328125E-07
0.697784423828125	1.3140869140625E-07
0.707855224609375	1.3250732421875E-07
0.717926025390625	1.34002685546875E-07
0.727996826171875	1.3153076171875E-07
0.738067626953125	1.31622314453125E-07
0.748138427734375	1.29791259765625E-07
0.758209228515625	1.27197265625E-07
0.768280029296875	1.2738037109375E-07
0.778350830078125	1.29425048828125E-07
0.788421630859375	1.32354736328125E-07
0.798492431640625	1.28875732421875E-07
0.808563232421875	1.2921142578125E-07
0.818634033203125	1.26373291015625E-07
0.828704833984375	1.28631591796875E-07
0.838775634765625	1.27716064453125E-07
0.848846435546875	1.3092041015625E-07
0.858917236328125	1.3323974609375E-07
0.868988037109375	1.339111328125E-07
0.879058837890625	1.3897705078125E-07
0.889129638671875	1.4227294921875E-07
0.899200439453125	1.47308349609375E-07
0.909271240234375	1.48040771484375E-07
0.919342041015625	1.5625E-07
0.929412841796875	1.67327880859375E-07
0.939483642578125	1.79962158203125E-07
0.949554443359375	1.95404052734375E-07
0.959625244140625	2.16339111328125E-07
0.969696044921875	2.47650146484375E-07
0.979766845703125	2.92877197265625E-07
0.989837646484375	3.5418701171875E-07
0.999908447265625	4.48455810546875E-07
1.00997924804688	5.888671875E-07
1.02005004882813	7.94952392578125E-07
1.03012084960938	1.1004638671875E-06
1.04019165039063	1.5478515625E-06
1.05026245117188	2.20123291015625E-06
1.06033325195313	3.1549072265625E-06
1.07040405273438	4.51446533203125E-06
1.08047485351563	6.41876220703125E-06
1.09054565429688	9.027099609375E-06
1.10061645507813	1.2469482421875E-05
1.11068725585938	1.680908203125E-05
1.12075805664063	2.19451904296875E-05
1.13082885742188	2.74932861328125E-05
1.14089965820313	3.27911376953125E-05
1.15097045898438	3.65081787109375E-05
1.16104125976563	3.78692626953125E-05
1.17111206054688	3.785400390625E-05
1.18118286132813	3.82965087890625E-05
1.19125366210938	4.00909423828125E-05
1.20132446289063	4.3499755859375E-05
1.21139526367188	4.9761962890625E-05
1.22146606445313	6.16424560546875E-05
1.23153686523438	9.5916748046875E-05
1.24160766601563	0.000172607421875
1.25167846679688	0.00027581787109375
1.26174926757813	0.00039892578125
1.27182006835938	0.000540618896484375
1.28189086914063	0.000703033447265625
1.29196166992188	0.0008880615234375
1.30203247070313	0.00109344482421875
1.31210327148438	0.00131805419921875
1.32217407226563	0.0015472412109375
1.33224487304688	0.00176239013671875
1.34231567382813	0.00196014404296875
1.35238647460938	0.00214569091796875
1.36245727539063	0.0023260498046875
1.37252807617188	0.0025030517578125
1.38259887695313	0.0026806640625
1.39266967773438	0.00285400390625
1.40274047851563	0.00302490234375
1.41281127929688	0.0031939697265625
1.42288208007813	0.0033587646484375
1.43295288085938	0.0035198974609375
1.44302368164063	0.00368194580078125
1.45309448242188	0.0038360595703125
1.46316528320313	0.00397918701171875
1.47323608398438	0.004119873046875
1.48330688476563	0.00424774169921875
1.49337768554688	0.00436737060546875
1.50344848632813	0.00448089599609375
1.49337768554688	0.00427459716796875
1.48330688476563	0.00407623291015625
1.47323608398438	0.00390167236328125
1.46316528320313	0.00373138427734375
1.45309448242188	0.00355804443359375
1.44302368164063	0.00340423583984375
1.43295288085938	0.00324798583984375
1.42288208007813	0.00309356689453125
1.41281127929688	0.00295196533203125
1.40274047851563	0.0028070068359375
1.39266967773438	0.002664794921875
1.38259887695313	0.00253326416015625
1.37252807617188	0.0023931884765625
1.36245727539063	0.00226043701171875
1.35238647460938	0.00213348388671875
1.34231567382813	0.002003173828125
1.33224487304688	0.0018780517578125
1.32217407226563	0.0017584228515625
1.31210327148438	0.00163482666015625
1.30203247070313	0.001519775390625
1.29196166992188	0.0014068603515625
1.28189086914063	0.00129547119140625
1.27182006835938	0.00119049072265625
1.26174926757813	0.0010888671875
1.25167846679688	0.0009906005859375
1.24160766601563	0.00089874267578125
1.23153686523438	0.000809326171875
1.22146606445313	0.00072662353515625
1.21139526367188	0.0006488037109375
1.20132446289063	0.00057708740234375
1.19125366210938	0.00051055908203125
1.18118286132813	0.000449371337890625
1.17111206054688	0.00039385986328125
1.16104125976563	0.000344085693359375
1.15097045898438	0.00029925537109375
1.14089965820313	0.00025933837890625
1.13082885742188	0.00022406005859375
1.12075805664063	0.0001929931640625
1.11068725585938	0.000165924072265625
1.10061645507813	0.00014202880859375
1.09054565429688	0.000121307373046875
1.08047485351563	0.000103363037109375
1.07040405273438	8.7677001953125E-05
1.06033325195313	7.40966796875E-05
1.05026245117188	6.2286376953125E-05
1.04019165039063	5.206298828125E-05
1.03012084960938	4.31304931640625E-05
1.02005004882813	3.5308837890625E-05
1.00997924804688	2.85308837890625E-05
0.999908447265625	2.261962890625E-05
0.989837646484375	1.7315673828125E-05
0.979766845703125	1.270751953125E-05
0.969696044921875	8.69140625E-06
0.959625244140625	4.9713134765625E-06
0.949554443359375	1.884765625E-06
0.939483642578125	-1.0986328125E-06
0.929412841796875	-3.692626953125E-06
0.919342041015625	-5.999755859375E-06
0.909271240234375	-8.0810546875E-06
0.899200439453125	-1.00372314453125E-05
0.889129638671875	-1.16973876953125E-05
0.879058837890625	-1.33453369140625E-05
0.868988037109375	-1.480712890625E-05
0.858917236328125	-1.595458984375E-05
0.848846435546875	-1.7218017578125E-05
0.838775634765625	-1.82220458984375E-05
0.828704833984375	-1.92230224609375E-05
0.818634033203125	-2.01629638671875E-05
0.808563232421875	-2.0977783203125E-05
0.798492431640625	-2.16339111328125E-05
0.788421630859375	-2.24212646484375E-05
0.778350830078125	-2.3065185546875E-05
0.768280029296875	-2.35992431640625E-05
0.758209228515625	-2.421875E-05
0.748138427734375	-2.47955322265625E-05
0.738067626953125	-2.5323486328125E-05
0.727996826171875	-2.574462890625E-05
0.717926025390625	-2.63031005859375E-05
0.707855224609375	-2.67059326171875E-05
0.697784423828125	-2.7105712890625E-05
0.687713623046875	-2.75909423828125E-05
0.677642822265625	-2.7923583984375E-05
0.667572021484375	-2.84820556640625E-05
0.657501220703125	-2.88299560546875E-05
0.647430419921875	-2.91290283203125E-05
0.637359619140625	-2.96539306640625E-05
0.627288818359375	-3.0108642578125E-05
0.617218017578125	-3.0426025390625E-05
0.607147216796875	-3.096923828125E-05
0.597076416015625	-3.1378173828125E-05
0.587005615234375	-3.18115234375E-05
0.576934814453125	-3.22540283203125E-05
0.566864013671875	-3.287353515625E-05
0.556793212890625	-3.3233642578125E-05
0.546722412109375	-3.3892822265625E-05
0.536651611328125	-3.45672607421875E-05
0.526580810546875	-3.51898193359375E-05
0.516510009765625	-3.60260009765625E-05
0.506439208984375	-3.67523193359375E-05
0.496368408203125	-3.7646484375E-05
0.486297607421875	-3.86016845703125E-05
0.476226806640625	-3.9727783203125E-05
0.466156005859375	-4.08233642578125E-05
