Messpkt.;Zeit [s];Schubspannung [Pa];Viskosität [Pa·s];Drehzahl [1/min];Moment [µNm];Status
75;115;8,28;82,7;0,0168;271;Dy_auto
76;116;8,24;82,2;0,0169;270;Dy_auto
77;117;8,28;82,7;0,0169;271;Dy_auto
78;118;8,27;82,6;0,0169;271;Dy_auto
79;119;8,29;82,8;0,0169;271;Dy_auto
80;120;8,26;82,6;0,0169;270;Dy_auto
81;121;8,29;82,9;0,0169;271;Dy_auto
82;122;8,29;82,9;0,0168;271;Dy_auto
83;123;8,25;82,6;0,0168;270;Dy_auto
84;124;8,23;82,2;0,0169;269;Dy_auto
85;125;8,24;82,4;0,0169;270;Dy_auto
86;126;8,22;82,3;0,0168;269;Dy_auto
87;127;8,23;82,2;0,0169;269;Dy_auto
88;128;8,23;82,3;0,0168;269;Dy_auto
89;129;8,22;82,1;0,0169;269;Dy_auto
90;130;8,24;82,5;0,0168;270;Dy_auto
91;131;8,25;82,4;0,0169;270;Dy_auto
92;132;8,27;82,8;0,0168;271;Dy_auto
93;133;8,27;82,7;0,0168;271;Dy_auto
94;134;8,26;82,7;0,0168;271;Dy_auto
95;135;8,29;82,8;0,0169;271;Dy_auto
96;136;8,28;82,9;0,0168;271;Dy_auto
97;137;8,26;82,6;0,0169;271;Dy_auto
98;138;8,26;82,6;0,0168;270;Dy_auto
99;139;8,25;82,5;0,0168;270;Dy_auto
100;140;8,27;82,8;0,0168;271;Dy_auto
101;141;8,3;83,1;0,0168;272;Dy_auto
102;142;8,3;83,0;0,0168;272;Dy_auto
103;143;8,32;83,2;0,0168;272;Dy_auto
104;144;8,31;83,3;0,0168;272;Dy_auto
105;145;8,28;82,8;0,0168;271;Dy_auto
106;146;8,28;82,8;0,0168;271;Dy_auto
107;147;8,27;82,6;0,0169;271;Dy_auto
108;148;8,26;82,6;0,0169;270;Dy_auto
109;149;8,22;82,1;0,0169;269;Dy_auto
110;150;8,24;82,4;0,0169;270;Dy_auto
111;151;8,23;82,3;0,0168;269;Dy_auto
112;152;8,22;82,1;0,0169;269;Dy_auto
113;153;8,23;82,3;0,0168;269;Dy_auto
114;154;8,23;82,2;0,0169;269;Dy_auto
115;155;8,26;82,6;0,0168;270;Dy_auto
116;156;8,26;82,5;0,0169;270;Dy_auto
117;157;8,24;82,4;0,0168;270;Dy_auto
118;158;8,24;82,2;0,0169;270;Dy_auto
119;159;8,24;82,3;0,0169;270;Dy_auto
120;160;8,23;82,2;0,0169;269;Dy_auto
121;161;8,22;82,2;0,0169;269;Dy_auto
122;162;8,22;82,1;0,0169;269;Dy_auto
123;163;8,26;82,6;0,0168;270;Dy_auto
124;164;8,24;82,3;0,0169;270;Dy_auto
125;165;8,24;82,4;0,0168;270;Dy_auto
