Messpkt.;Zeit [s];Schubspannung [Pa];Viskosität [Pa·s];Drehzahl [1/min];Moment [µNm];Status
1;21;9,61;96,2;0,0168;315;Dy_auto
2;22;9,67;96,7;0,0169;317;Dy_auto
3;23;9,69;96,9;0,0168;317;Dy_auto
4;24;9,71;97,1;0,0168;318;Dy_auto
5;25;9,75;97,4;0,0168;319;Dy_auto
6;26;9,73;97,3;0,0168;318;Dy_auto
7;27;9,74;97,3;0,0169;319;Dy_auto
8;28;9,75;97,5;0,0168;319;Dy_auto
9;29;9,73;97,3;0,0168;319;Dy_auto
10;30;9,76;97,6;0,0168;319;Dy_auto
1;31;144;0,288;84,2;4710;Dy_auto
2;32;141;0,282;84,2;4610;Dy_auto
3;33;140;0,28;84,2;4580;Dy_auto
4;34;141;0,282;84,2;4610;Dy_auto
5;35;139;0,278;84,2;4560;Dy_auto
6;36;139;0,277;84,2;4540;Dy_auto
7;37;138;0,276;84,2;4510;Dy_auto
8;38;137;0,274;84,2;4490;Dy_auto
9;39;137;0,275;84,2;4490;Dy_auto
10;40;137;0,273;84,2;4470;Dy_auto
1;41;6,4;64;0,0168;209;Dy_auto
2;42;6,91;68,9;0,0169;226;Dy_auto
3;43;7,17;71,7;0,0168;235;Dy_auto
4;44;7,35;73,4;0,0169;240;Dy_auto
5;45;7,51;75;0,0169;246;Dy_auto
6;46;7,6;75,9;0,0169;249;Dy_auto
7;47;7,68;76,7;0,0169;251;Dy_auto
8;48;7,73;77,3;0,0169;253;Dy_auto
9;49;7,8;77,9;0,0169;255;Dy_auto
10;50;7,82;78,2;0,0168;256;Dy_auto
11;51;7,84;78,3;0,0169;257;Dy_auto
12;52;7,86;78,6;0,0168;257;Dy_auto
13;53;7,88;78,7;0,0169;258;Dy_auto
14;54;7,91;79,1;0,0169;259;Dy_auto
15;55;7,93;79,2;0,0169;260;Dy_auto
16;56;7,99;80;0,0168;262;Dy_auto
17;57;8,03;80,2;0,0169;263;Dy_auto
18;58;8,02;80,2;0,0168;263;Dy_auto
19;59;8,02;80,1;0,0169;262;Dy_auto
20;60;8,03;80,3;0,0169;263;Dy_auto
21;61;8,03;80,3;0,0169;263;Dy_auto
22;62;8;80;0,0169;262;Dy_auto
23;63;8,02;80,2;0,0168;263;Dy_auto
24;64;8,08;80,7;0,0169;264;Dy_auto
25;65;8,09;80,9;0,0168;265;Dy_auto
26;66;8,1;81;0,0169;265;Dy_auto
27;67;8,14;81,4;0,0168;266;Dy_auto
28;68;8,12;81,3;0,0168;266;Dy_auto
29;69;8,11;81,2;0,0168;266;Dy_auto
30;70;8,1;80,9;0,0168;265;Dy_auto
31;71;8,09;81;0,0168;265;Dy_auto
32;72;8,09;80,8;0,0169;265;Dy_auto
33;73;8,12;81,3;0,0168;266;Dy_auto
34;74;8,15;81,5;0,0168;267;Dy_auto
35;75;8,14;81,5;0,0168;266;Dy_auto
36;76;8,16;81,6;0,0168;267;Dy_auto
37;77;8,17;81,8;0,0168;267;Dy_auto
38;78;8,18;81,8;0,0168;268;Dy_auto
39;79;8,15;81,6;0,0168;267;Dy_auto
40;80;8,14;81,3;0,0168;266;Dy_auto
41;81;8,13;81,4;0,0168;266;Dy_auto
42;82;8,11;81,1;0,0168;265;Dy_auto
43;83;8,13;81,3;0,0168;266;Dy_auto
44;84;8,17;81,7;0,0168;267;Dy_auto
45;85;8,17;81,7;0,0168;267;Dy_auto
46;86;8,18;81,9;0,0168;268;Dy_auto
47;87;8,19;81,9;0,0169;268;Dy_auto
48;88;8,19;82;0,0168;268;Dy_auto
49;89;8,22;82,2;0,0169;269;Dy_auto
50;90;8,2;82;0,0168;268;Dy_auto
51;91;8,2;81,9;0,0169;268;Dy_auto
52;92;8,21;82,1;0,0168;269;Dy_auto
53;93;8,22;82,2;0,0168;269;Dy_auto
54;94;8,25;82,5;0,0168;270;Dy_auto
55;95;8,24;82,3;0,0169;270;Dy_auto
56;96;8,26;82,6;0,0168;270;Dy_auto
57;97;8,25;82,4;0,0169;270;Dy_auto
58;98;8,25;82,5;0,0168;270;Dy_auto
59;99;8,3;82,9;0,0169;272;Dy_auto
60;100;8,27;82,7;0,0169;271;Dy_auto
61;101;8,28;82,7;0,0169;271;Dy_auto
62;102;8,26;82,4;0,0169;270;Dy_auto
63;103;8,25;82,4;0,0169;270;Dy_auto
64;104;8,24;82,3;0,0169;270;Dy_auto
65;105;8,21;82,1;0,0168;269;Dy_auto
66;106;8,2;81,9;0,0169;268;Dy_auto
67;107;8,2;81,9;0,0169;268;Dy_auto
68;108;8,22;82;0,0169;269;Dy_auto
69;109;8,22;82,2;0,0168;269;Dy_auto
70;110;8,22;82,1;0,0169;269;Dy_auto
71;111;8,25;82,5;0,0168;270;Dy_auto
72;112;8,26;82,4;0,0169;270;Dy_auto
73;113;8,28;82,7;0,0168;271;Dy_auto
74;114;8,29;82,7;0,0169;271;Dy_auto
