Messpkt.;Zeit [s];Schubspannung [Pa];Viskosität [Pa·s];Drehzahl [1/min];Moment [µNm];Status
111;151;10;100;0,0169;328;Dy_auto
112;152;10;100;0,0169;328;Dy_auto
113;153;10;100;0,0169;328;Dy_auto
114;154;9,99;99,9;0,0169;327;Dy_auto
115;155;9,96;99,5;0,0169;326;Dy_auto
116;156;9,99;99,9;0,0169;327;Dy_auto
117;157;9,98;99,8;0,0169;327;Dy_auto
118;158;10;100;0,0169;328;Dy_auto
119;159;9,99;99,8;0,0169;327;Dy_auto
120;160;10;100;0,0169;328;Dy_auto
121;161;10;100;0,0169;328;Dy_auto
122;162;10;100;0,0169;328;Dy_auto
123;163;10;100;0,0169;327;Dy_auto
124;164;9,98;99,7;0,0169;327;Dy_auto
125;165;9,97;99,6;0,0169;326;Dy_auto
